Training Metrics Log
==================================================
Epoch: MAE, MSE, Loss
Epoch  46: MAE=  12.0, MSE=  18.6, Loss=0.00001192
Epoch  47: MAE=  14.4, MSE=  22.7, Loss=0.00001221
Epoch  48: MAE=  17.8, MSE=  25.9, Loss=0.00001211
Epoch  49: MAE=  11.9, MSE=  19.0, Loss=0.00001182
Epoch  50: MAE=  15.4, MSE=  22.2, Loss=0.00001235
Epoch  51: MAE=  13.3, MSE=  21.6, Loss=0.00001277
Epoch  52: MAE=  17.6, MSE=  27.5, Loss=0.00001196
Epoch  53: MAE=  11.6, MSE=  18.6, Loss=0.00001206
Epoch  54: MAE=  41.9, MSE=  55.0, Loss=0.00001315
Epoch  55: MAE=  28.3, MSE=  40.5, Loss=0.00001238
Epoch  56: MAE=  16.7, MSE=  25.5, Loss=0.00001190
Epoch  57: MAE=  12.9, MSE=  20.7, Loss=0.00001206
Epoch  58: MAE=  13.1, MSE=  20.8, Loss=0.00001228
Epoch  59: MAE=  17.1, MSE=  24.0, Loss=0.00001266
Epoch  60: MAE=  11.3, MSE=  17.9, Loss=0.00001226
Epoch  61: MAE=  16.5, MSE=  25.0, Loss=0.00001217
Epoch  62: MAE=  13.9, MSE=  22.8, Loss=0.00001322
Epoch  63: MAE=  11.5, MSE=  20.2, Loss=0.00001212
Epoch  64: MAE=  11.4, MSE=  17.6, Loss=0.00001220
Epoch  65: MAE=  12.6, MSE=  21.7, Loss=0.00001203
Epoch  66: MAE=  11.0, MSE=  18.7, Loss=0.00001178
Epoch  67: MAE=  15.8, MSE=  23.2, Loss=0.00001288
Epoch  68: MAE=  18.5, MSE=  28.5, Loss=0.00001239
Epoch  69: MAE=  15.2, MSE=  21.4, Loss=0.00001243
Epoch  70: MAE=  11.7, MSE=  17.7, Loss=0.00001230
Epoch  71: MAE=  15.9, MSE=  22.3, Loss=0.00001250
Epoch  72: MAE=  12.1, MSE=  18.3, Loss=0.00001270
Epoch  73: MAE=  11.7, MSE=  19.3, Loss=0.00001264
Epoch  74: MAE=  13.2, MSE=  21.7, Loss=0.00001298
Epoch  75: MAE=  11.9, MSE=  19.1, Loss=0.00001282
Epoch  76: MAE=  15.1, MSE=  21.6, Loss=0.00001287
Epoch  77: MAE=  10.9, MSE=  18.1, Loss=0.00001286
Epoch  78: MAE=  11.4, MSE=  17.9, Loss=0.00001335
Epoch  79: MAE=  17.3, MSE=  26.7, Loss=0.00001349
Epoch  80: MAE=  12.4, MSE=  19.0, Loss=0.00001289
Epoch  81: MAE=  12.4, MSE=  20.1, Loss=0.00001326
Epoch  82: MAE=  12.5, MSE=  19.7, Loss=0.00001366
Epoch  83: MAE=  15.1, MSE=  21.3, Loss=0.00001295
Epoch  84: MAE=  14.0, MSE=  20.5, Loss=0.00001299
Epoch  85: MAE=  13.2, MSE=  19.7, Loss=0.00001359
Epoch  86: MAE=  11.0, MSE=  18.1, Loss=0.00001388
Epoch  87: MAE=  10.7, MSE=  16.7, Loss=0.00001317
Epoch  88: MAE=  15.8, MSE=  23.3, Loss=0.00001334
Epoch  89: MAE=  11.1, MSE=  17.0, Loss=0.00001386
Epoch  90: MAE=  10.8, MSE=  17.2, Loss=0.00001360
Epoch  91: MAE=  12.3, MSE=  18.9, Loss=0.00001396
Epoch  92: MAE=  24.2, MSE=  32.6, Loss=0.00001399
Epoch  93: MAE=  19.7, MSE=  28.9, Loss=0.00001389
Epoch  94: MAE=  12.2, MSE=  18.3, Loss=0.00001374
Epoch  95: MAE=  10.7, MSE=  16.6, Loss=0.00001405
Epoch  96: MAE=  10.9, MSE=  17.2, Loss=0.00001481
Epoch  97: MAE=  10.4, MSE=  16.4, Loss=0.00001446
Epoch  98: MAE=  10.9, MSE=  16.9, Loss=0.00001465
Epoch  99: MAE=  10.8, MSE=  17.3, Loss=0.00001446
Epoch 100: MAE=  12.3, MSE=  20.3, Loss=0.00001396
Epoch 101: MAE=  11.7, MSE=  17.4, Loss=0.00001439
Epoch 102: MAE=  13.1, MSE=  20.9, Loss=0.00001507
Epoch 103: MAE=  14.5, MSE=  21.1, Loss=0.00001486
Epoch 104: MAE=  10.6, MSE=  16.6, Loss=0.00001478
Epoch 105: MAE=  12.9, MSE=  20.5, Loss=0.00001528
Epoch 106: MAE=  11.2, MSE=  17.1, Loss=0.00001511
Epoch 107: MAE=  10.6, MSE=  16.5, Loss=0.00001601
Epoch 108: MAE=  22.4, MSE=  30.9, Loss=0.00001511
Epoch 109: MAE=  10.5, MSE=  17.7, Loss=0.00001525
Epoch 110: MAE=  20.0, MSE=  29.1, Loss=0.00001650
Epoch 111: MAE=  11.0, MSE=  16.8, Loss=0.00001578
Epoch 112: MAE=  11.2, MSE=  17.0, Loss=0.00001546
Epoch 113: MAE=  11.9, MSE=  19.1, Loss=0.00001614
Epoch 114: MAE=  13.3, MSE=  19.7, Loss=0.00001622
Epoch 115: MAE=  14.1, MSE=  21.3, Loss=0.00001632
Epoch 116: MAE=  12.8, MSE=  19.5, Loss=0.00001623
Epoch 117: MAE=  11.1, MSE=  17.7, Loss=0.00001677
